ko,gene_name,gene_description,ec_1,ec_2,ec_3,ec_4,glycolysis,gluconeogenesis,ppp,prpp_biosynthesis,ed,tca,glyoxylate_cycle,malonate_semialdehyde_pathway,serine_biosynthesis,cysteine_biosynthesis,cbb,cam,c4,rtca,methane_oxidation,pyruvate_oxidation,sped,nped,formaldehyde_assimilation,methanogenesis_acetate_methanol,emcp,dchb,hphb,3hp,wl,acCoA_pathway,photorespiration,methanogenesis_methylamine_dimethylamine_trimethylamine,methanogenesis_CO2,pta_acka,ppp_archea,incomplete_rtca,rglyc,sped_2,methylaspartate_cycle,propanoylCoA_metabolism,methylcitrate_cycle,pathway,key_genes,trophic_mode,global_function,metabolism_sub_function,energy_metabolism_sub_function
K03657,uvrD,pcrA; ATP-dependent DNA helicase UvrD/PcrA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Genetic Information Processing,Other,Other
K03658,helD,DNA helicase IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03660,OGG1,N-glycosylase/DNA lyase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Genetic Information Processing,Other,Other
K03661,ATPeV0B,ATP6F; V-type H+-transporting ATPase 21kDa proteolipid subunit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cellular Processes;Metabolism;Organismal Systems,Energy metabolism,Oxidative phosphorylation
K03664,smpB,SsrA-binding protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03665,hflX,GTPase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03666,hfq,host factor-I protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cellular Processes;Genetic Information Processing,Other,Other
K03667,hslU,ATP-dependent HslUV protease ATP-binding subunit HslU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03668,hslJ,heat shock protein HslJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03669,mdoH,membrane glycosyltransferase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03670,mdoG,periplasmic glucans biosynthesis protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03671,TXN,trxA; thioredoxin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Organismal Systems,Other,Other
K03672,trxC,thioredoxin 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03673,dsbA,protein dithiol oxidoreductase (disulfide-forming),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03674,grxA,glutaredoxin 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03675,grxB,glutaredoxin 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03676,grxC,"GLRX, GLRX2; glutaredoxin 3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03678,RRP45,EXOSC9; exosome complex component RRP45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Genetic Information Processing,Other,Other
K03679,RRP4,EXOSC2; exosome complex component RRP4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Genetic Information Processing,Other,Other
K03680,EIF2B4,translation initiation factor eIF-2B subunit delta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03681,RRP40,EXOSC3; exosome complex component RRP40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Genetic Information Processing,Other,Other
K03683,rnt,ribonuclease T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03684,rnd,ribonuclease D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03685,rnc,"DROSHA, RNT1; ribonuclease III",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Genetic Information Processing,Other,Other
K03686,dnaJ,molecular chaperone DnaJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03687,GRPE,molecular chaperone GrpE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03688,ubiB,aarF; ubiquinone biosynthesis protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03690,ubiJ,ubiquinone biosynthesis accessory factor UbiJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03692,E2.4.1.213,glucosylglycerol-phosphate synthase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03693,pbp1b,penicillin-binding protein 1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Glycan biosynthesis and metabolism,Other
K03694,clpA,ATP-dependent Clp protease ATP-binding subunit ClpA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03695,clpB,ATP-dependent Clp protease ATP-binding subunit ClpB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Organismal Systems,Other,Other
K03696,clpC,ATP-dependent Clp protease ATP-binding subunit ClpC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03697,clpE,ATP-dependent Clp protease ATP-binding subunit ClpE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03698,cbf,cbf1; 3'-5' exoribonuclease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03699,tlyC,"magnesium and cobalt exporter, CNNM family",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03700,recU,recombination protein U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03701,uvrA,excinuclease ABC subunit A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Genetic Information Processing,Other,Other
K03702,uvrB,excinuclease ABC subunit B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Genetic Information Processing,Other,Other
K03703,uvrC,excinuclease ABC subunit C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Genetic Information Processing,Other,Other
K03704,cspA,cold shock protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03705,hrcA,heat-inducible transcriptional repressor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03706,codY,transcriptional pleiotropic repressor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03707,tenA,thiaminase (transcriptional activator TenA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Metabolism of cofactors and vitamins,Other
K03708,ctsR,transcriptional regulator of stress and heat shock response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03709,troR,"sirR, scaR, mntR; DtxR family transcriptional regulator, Mn-dependent transcriptional regulator",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03710,K03710,GntR family transcriptional regulator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03711,fur,"zur, furB; Fur family transcriptional regulator, ferric uptake regulator",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03712,marR,"MarR family transcriptional regulator, multiple antibiotic resistance protein MarR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03713,glnR,"MerR family transcriptional regulator, glutamine synthetase repressor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03716,splB,spore photoproduct lyase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03717,nhaR,"LysR family transcriptional regulator, transcriptional activator of nhaA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03718,asnC,"Lrp/AsnC family transcriptional regulator, regulator for asnA, asnC and gidA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03719,lrp,"Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03720,trpR,"TrpR family transcriptional regulator, trp operon repressor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03721,tyrR,"transcriptional regulator of aroF, aroG, tyrA and aromatic amino acid transport",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03722,dinG,ATP-dependent DNA helicase DinG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03723,mfd,transcription-repair coupling factor (superfamily II helicase),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Genetic Information Processing,Other,Other
K03724,lhr,ATP-dependent helicase Lhr and Lhr-like helicase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03725,K03725,putative ATP-dependent RNA helicase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03726,helS,ATP-dependent DNA helicase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03727,helY,ATP-dependent RNA helicase HelY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03731,E2.4.1.216,trehalose 6-phosphate phosphorylase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03732,rhlB,ATP-dependent RNA helicase RhlB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Genetic Information Processing,Other,Other
K03733,xerC,integrase/recombinase XerC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03734,apbE,FAD:protein FMN transferase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03735,eutB,ethanolamine ammonia-lyase large subunit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Lipid metabolism,Other
K03736,eutC,ethanolamine ammonia-lyase small subunit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Lipid metabolism,Other
K03739,dltB,membrane protein involved in D-alanine export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Environmental Information Processing;Metabolism,Glycan biosynthesis and metabolism,Other
K03740,dltD,D-alanine transfer protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Environmental Information Processing;Metabolism,Glycan biosynthesis and metabolism,Other
K03741,arsC,arsenate reductase (thioredoxin),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03742,pncC,nicotinamide-nucleotide amidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Metabolism of cofactors and vitamins,Other
K03743,pncC,nicotinamide-nucleotide amidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Metabolism of cofactors and vitamins,Other
K03744,lemA,LemA protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03745,slyX,SlyX protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03746,hns,DNA-binding protein H-NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03747,smg,Smg protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03748,sanA,SanA protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03749,dedD,DedD protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03750,moeA,molybdopterin molybdotransferase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Metabolism of cofactors and vitamins,Other
K03752,mobA,molybdenum cofactor guanylyltransferase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Metabolism of cofactors and vitamins,Other
K03753,mobB,molybdopterin-guanine dinucleotide biosynthesis adapter protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03754,EIF2B2,translation initiation factor eIF-2B subunit beta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03755,adiY,"AraC family transcriptional regulator, transcriptional activator of adiA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03756,potE,putrescine:ornithine antiporter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03757,cadB,cadaverine:lysine antiporter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03758,arcD,"lysl, lysP; arginine:ornithine antiporter / lysine permease",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03759,adiC,arginine:agmatine antiporter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03760,eptA,pmrC; lipid A ethanolaminephosphotransferase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Glycan biosynthesis and metabolism,Other
K03761,kgtP,"MFS transporter, MHS family, alpha-ketoglutarate permease",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03762,proP,"MFS transporter, MHS family, proline/betaine transporter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03763,polC,"DNA polymerase III subunit alpha, Gram-positive type",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Genetic Information Processing,Other,Other
K03764,metJ,"MetJ family transcriptional regulator, methionine regulon repressor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03765,cadC,transcriptional activator of cad operon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03767,PPIA,peptidyl-prolyl cis-trans isomerase A (cyclophilin A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cellular Processes;Genetic Information Processing,Other,Other
K03768,PPIB,ppiB; peptidyl-prolyl cis-trans isomerase B (cyclophilin B),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03769,ppiC,peptidyl-prolyl cis-trans isomerase C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03770,ppiD,peptidyl-prolyl cis-trans isomerase D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03771,surA,peptidyl-prolyl cis-trans isomerase SurA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03772,fkpA,FKBP-type peptidyl-prolyl cis-trans isomerase FkpA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03773,fklB,FKBP-type peptidyl-prolyl cis-trans isomerase FklB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03774,slpA,FKBP-type peptidyl-prolyl cis-trans isomerase SlpA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03775,slyD,FKBP-type peptidyl-prolyl cis-trans isomerase SlyD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03776,aer,aerotaxis receptor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cellular Processes;Environmental Information Processing,Other,Other
K03777,dld,D-lactate dehydrogenase (quinone),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Carbohydrate metabolism,Other
K03778,ldhA,D-lactate dehydrogenase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Carbohydrate metabolism,Other
K03779,ttdA,L(+)-tartrate dehydratase alpha subunit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Carbohydrate metabolism,Other
K03780,ttdB,L(+)-tartrate dehydratase beta subunit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Carbohydrate metabolism,Other
K03782,katG,catalase-peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Amino acid metabolism;Biosynthesis of other secondary metabolites;Xenobiotics biodegradation and metabolism,Other
K03783,punA,PNP; purine-nucleoside phosphorylase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Metabolism of cofactors and vitamins;Nucleotide metabolism,Other
K03784,deoD,purine-nucleoside phosphorylase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Metabolism of cofactors and vitamins;Nucleotide metabolism,Other
K03785,aroD,3-dehydroquinate dehydratase I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Amino acid metabolism,Other
K03786,aroQ,qutE; 3-dehydroquinate dehydratase II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Amino acid metabolism,Other
K03787,surE,5'/3'-nucleotidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Metabolism of cofactors and vitamins;Nucleotide metabolism,Other
K03788,aphA,acid phosphatase (class B),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Metabolism of cofactors and vitamins,Other
K03789,rimI,[ribosomal protein S18]-alanine N-acetyltransferase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03790,rimJ,[ribosomal protein S5]-alanine N-acetyltransferase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03791,K03791,putative chitinase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03793,PTR1,pteridine reductase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Metabolism of cofactors and vitamins,Other
K03794,sirB,sirohydrochlorin ferrochelatase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Metabolism of cofactors and vitamins,Other
K03795,cbiX,sirohydrochlorin cobaltochelatase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Metabolism of cofactors and vitamins,Other
K03796,bax,Bax protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03797,E3.4.21.102,"prc, ctpA; carboxyl-terminal processing protease",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03798,ftsH,hflB; cell division protease FtsH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03799,htpX,heat shock protein HtpX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03800,lplA,"lplJ, lipL1; lipoate---protein ligase",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Metabolism of cofactors and vitamins,Other
K03801,lipB,lipoyl(octanoyl) transferase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Metabolism of cofactors and vitamins,Other
K03802,cphA,cyanophycin synthetase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03803,rseC,sigma-E factor negative regulatory protein RseC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03804,mukE,chromosome partition protein MukE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03805,dsbG,thiol:disulfide interchange protein DsbG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03806,ampD,N-acetyl-anhydromuramoyl-L-alanine amidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03807,ampE,AmpE protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03808,pqiA,letA; intermembrane transport protein PqiA/LetA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03809,wrbA,NAD(P)H dehydrogenase (quinone),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Metabolism of cofactors and vitamins,Other
K03810,mviM,virulence factor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03811,pnuC,nicotinamide mononucleotide transporter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03812,rmf,ribosome modulation factor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03813,modD,molybdenum transport protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03814,mtgA,peptidoglycan glycosyltransferase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Glycan biosynthesis and metabolism,Other
K03816,xpt,xanthine phosphoribosyltransferase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Nucleotide metabolism,Other
K03817,rimL,ribosomal-protein-serine acetyltransferase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03818,wcaF,putative colanic acid biosynthesis acetyltransferase WcaF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Glycan biosynthesis and metabolism,Other
K03819,wcaB,putative colanic acid biosynthesis acetyltransferase WcaB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Glycan biosynthesis and metabolism,Other
K03820,lnt,apolipoprotein N-acyltransferase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03821,phaC,phbC; poly[(R)-3-hydroxyalkanoate] polymerase subunit PhaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Carbohydrate metabolism,Other
K03822,K03822,putative long chain acyl-CoA synthase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03823,pat,bar; phosphinothricin acetyltransferase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Metabolism of other amino acids,Other
K03824,yhbS,putative acetyltransferase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03825,aaaT,L-phenylalanine/L-methionine N-acetyltransferase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Amino acid metabolism,Other
K03826,yiaC,putative acetyltransferase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03827,yjaB,putative acetyltransferase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03828,yjgM,putative acetyltransferase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03829,yedL,putative acetyltransferase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03830,yafP,putative acetyltransferase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03831,mogA,molybdopterin adenylyltransferase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Genetic Information Processing;Metabolism,Metabolism of cofactors and vitamins,Other
K03832,tonB,periplasmic protein TonB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03833,selB,EEFSEC; selenocysteine-specific elongation factor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03834,tyrP,tyrosine-specific transport protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03835,mtr,tryptophan-specific transport protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03836,tnaB,low affinity tryptophan permease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03837,sdaC,serine transporter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K03838,tdcC,threonine transporter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
